r_um,h_waves_633nm,thickness_um
9.369369369369368314e+02,1.160098986931729748e+00,1.468685317455569850e+00
9.409409409409408909e+02,1.111202135704167926e+00,1.406781903801476608e+00
9.449449449449448366e+02,1.377553431502050341e+00,1.743982644281595773e+00
9.489489489489488960e+02,1.740563476663408826e+00,2.203553361455875770e+00
9.529529529529528418e+02,1.928354638492185691e+00,2.441296972331107096e+00
9.569569569569569012e+02,1.845891026434446358e+00,2.336898039466008825e+00
9.609609609609609606e+02,1.613900987290810329e+00,2.043198649910165976e+00
9.649649649649649064e+02,1.413263639302709818e+00,1.789191767357230622e+00
9.689689689689689658e+02,1.321231809748910191e+00,1.672679471142120233e+00
9.729729729729729115e+02,1.304120293715736567e+00,1.651016291844122685e+00
9.769769769769768573e+02,1.336455033213883370e+00,1.691952072048776401e+00
9.809809809809809167e+02,1.472464053152092056e+00,1.864139491290548678e+00
9.849849849849849761e+02,1.763520332060401596e+00,2.232616740388468468e+00
9.889889889889889218e+02,2.115651567787069975e+00,2.678414884818430597e+00
9.929929929929929813e+02,2.280960348062232690e+00,2.887695800646786548e+00
9.969969969969969270e+02,2.047643563915185094e+00,2.592316751916624362e+00
1.001001001001000986e+03,1.463517415025680668e+00,1.852813047422511739e+00
1.005005005005004932e+03,8.529377312750514584e-01,1.079819167794215051e+00
1.009009009009008992e+03,5.710299080521766824e-01,7.229238635940556934e-01
1.013013013013012824e+03,7.079234343736154900e-01,8.962310679169972483e-01
1.017017017017016997e+03,1.027226494569422943e+00,1.300468742124889499e+00
1.021021021021020829e+03,1.205795988993925594e+00,1.526537722066309888e+00
1.025025025025024888e+03,1.144429879667419714e+00,1.448848227658953380e+00
1.029029029029029061e+03,1.044551271205657494e+00,1.322401909346362370e+00
1.033033033033033007e+03,1.177932780451806938e+00,1.491262900051987694e+00
1.037037037037036953e+03,1.584892996612285110e+00,2.006474533711152919e+00
1.041041041041040899e+03,2.008188257546764444e+00,2.542366334054203758e+00
1.045045045045045072e+03,2.130856832488782437e+00,2.697664749930798411e+00
1.049049049049049017e+03,1.879607351499516632e+00,2.379582906998388037e+00
1.053053053053052963e+03,1.492312957111711524e+00,1.889268203703426741e+00
1.057057057057056909e+03,1.288906161789350913e+00,1.631755200825318219e+00
1.061061061061061082e+03,1.379530833204372309e+00,1.746486034836735479e+00
1.065065065065064800e+03,1.593448209873633115e+00,2.017305433700019801e+00
1.069069069069068973e+03,1.676715231445638388e+00,2.122721483010177934e+00
1.073073073073073147e+03,1.538351883319002633e+00,1.947553484281857372e+00
1.077077077077077092e+03,1.298526332392990978e+00,1.643934336809526719e+00
1.081081081081081038e+03,1.119891397928656884e+00,1.417782509777679500e+00
1.085085085085084984e+03,1.030945625060826654e+00,1.305177161327006674e+00
1.089089089089089157e+03,9.366880782088009560e-01,1.185847107012341972e+00
1.093093093093092875e+03,7.845954552586790198e-01,9.932978463574876349e-01
